Order_ID,Order_Date,Store_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Amount,Profit,Payment_Method
ORD00059,15-10-2024,STORE075,C175,P300,11,730,8030,1111,Cash
ORD00060,29-09-2024,STORE038,C2058,P256,5,786,3930,800,Credit Card
ORD00061,04-05-2024,STORE040,C380,P75,18,785,14130,2070,Credit Card
ORD00062,16-06-2024,STORE075,C2175,P259,13,423,5499,3315,Cash
ORD00063,08-11-2024,STORE061,C2401,P290,18,590,10620,4302,UPI
ORD00064,05-02-2024,STORE069,C1929,P21,12,523,6276,1692,Wallet
ORD00065,09-11-2024,STORE073,C1773,P23,20,338,6760,2240,Cash
ORD00066,23-09-2024,STORE054,C1034,P102,12,678,8136,3132,Credit Card
ORD00067,16-01-2024,STORE036,C1656,P253,2,377,754,310,UPI
ORD00068,23-06-2024,STORE009,C429,P151,14,533,7462,1316,Cash
ORD00069,29-10-2024,STORE032,C1092,P16,12,499,5988,2976,UPI
ORD00070,18-04-2024,STORE073,C813,P39,1,788,788,113,Debit Card
ORD00071,13-09-2024,STORE079,C2579,P281,5,310,1550,680,Wallet
ORD00072,27-08-2024,STORE004,C1144,P26,20,885,17700,4900,UPI
ORD00073,27-07-2024,STORE003,C1623,P148,13,773,10049,2106,Debit Card
ORD00074,09-06-2024,STORE080,C1060,P147,1,817,817,143,UPI
ORD00075,03-11-2024,STORE050,C1190,P62,18,660,11880,4680,Cash
ORD00076,30-10-2024,STORE016,C996,P274,19,445,8455,1615,UPI
ORD00077,04-07-2024,STORE034,C854,P165,10,567,5670,1800,Net Banking
ORD00078,27-03-2024,STORE078,C1218,P91,15,566,8490,2085,Net Banking
ORD00079,08-04-2024,STORE067,C2327,P210,8,606,4848,1360,UPI
ORD00080,28-07-2024,STORE074,C814,P182,19,608,11552,3458,UPI
ORD00081,20-09-2024,STORE053,C2553,P247,16,352,5632,2192,UPI
ORD00082,24-07-2024,STORE008,C1628,P53,17,276,4692,1581,Net Banking
ORD00083,06-09-2024,STORE041,C621,P55,16,811,12976,2544,Cash
ORD00084,02-05-2024,STORE045,C2385,P68,9,467,4203,2322,Wallet
ORD00085,30-05-2024,STORE051,C391,P172,13,732,9516,2496,Debit Card
ORD00086,06-04-2024,STORE014,C1554,P208,18,578,10404,3762,Credit Card
ORD00087,25-09-2024,STORE068,C2008,P164,15,555,8325,4365,Cash
ORD00088,11-04-2024,STORE058,C1998,P44,3,364,1092,576,Cash
ORD00089,19-05-2024,STORE016,C1476,P89,13,587,7631,1690,Credit Card
ORD00090,21-03-2024,STORE018,C918,P136,1,381,381,168,Wallet
ORD00091,29-01-2024,STORE015,C1395,P52,2,777,1554,426,Net Banking
ORD00092,23-06-2024,STORE027,C1167,P218,11,376,4136,1397,UPI
ORD00093,14-12-2024,STORE027,C2527,P223,19,638,12122,5567,Cash
ORD00094,01-11-2024,STORE017,C1717,P05,10,698,6980,2070,UPI
ORD00095,07-05-2024,STORE043,C1263,P163,20,425,8500,3100,Cash
ORD00096,15-08-2024,STORE076,C896,P232,20,583,11660,3760,UPI
ORD00097,10-08-2024,STORE018,C1478,P268,9,402,3618,1332,UPI
ORD00098,06-05-2024,STORE033,C2453,P253,11,377,4147,1705,Net Banking
ORD00099,21-03-2024,STORE007,C747,P84,14,857,11998,2786,Cash
ORD00100,17-11-2024,STORE041,C2461,P280,12,355,4260,2328,UPI
ORD00101,08-10-2024,STORE002,C1862,P228,1,726,726,154,UPI
ORD00102,05-05-2024,STORE044,C384,P33,3,860,2580,498,Net Banking
ORD00103,01-05-2024,STORE042,C1662,P249,13,313,4069,1417,Credit Card
ORD00104,22-09-2024,STORE022,C2202,P168,17,884,15028,4930,UPI
ORD00105,13-09-2024,STORE024,C364,P156,1,607,607,181,Cash
ORD00106,31-03-2024,STORE042,C702,P193,14,337,4718,2576,UPI
ORD00107,03-10-2024,STORE035,C1335,P49,16,587,9392,1408,Net Banking
ORD00108,08-08-2024,STORE063,C2563,P69,9,759,6831,747,Net Banking
ORD00109,26-03-2024,STORE014,C2034,P143,11,364,4004,1254,Cash
ORD00110,07-05-2024,STORE040,C1900,P118,15,703,10545,2400,Debit Card
ORD00111,20-05-2024,STORE053,C1193,P80,18,576,10368,2448,Cash
ORD00112,13-10-2024,STORE015,C1715,P112,7,735,5145,2065,UPI
ORD00113,30-07-2024,STORE069,C969,P176,20,821,16420,4740,Credit Card
ORD00114,24-11-2024,STORE044,C2224,P178,7,948,6636,2037,Cash
ORD00115,04-07-2024,STORE027,C2367,P09,1,658,658,247,Net Banking
ORD00116,04-08-2024,STORE009,C1069,P06,14,703,9842,2436,UPI
ORD00117,07-05-2024,STORE079,C1459,P299,17,603,10251,4131,Debit Card
ORD00118,05-06-2024,STORE041,C2461,P289,16,598,9568,1840,UPI
ORD00119,23-12-2024,STORE070,C170,P11,10,503,5030,2900,UPI
ORD00120,21-07-2024,STORE013,C1953,P293,8,478,3824,1200,UPI
ORD00121,27-02-2024,STORE013,C273,P221,13,723,9399,3900,Wallet
ORD00122,07-02-2024,STORE010,C830,P90,20,575,11500,2060,Wallet
ORD00123,02-02-2024,STORE070,C1610,P88,8,364,2912,1008,UPI
ORD00124,11-12-2024,STORE056,C236,P66,9,396,3564,846,UPI
ORD00125,20-05-2024,STORE054,C1514,P261,2,923,1846,510,Debit Card
ORD00126,03-09-2024,STORE073,C173,P24,14,925,12950,3220,Cash
ORD00127,14-11-2024,STORE062,C1282,P94,8,903,7224,1920,UPI
ORD00128,16-08-2024,STORE014,C354,P151,8,533,4264,752,UPI
ORD00129,25-11-2024,STORE039,C1179,P83,14,836,11704,3206,Debit Card
ORD00130,01-12-2024,STORE060,C2240,P05,10,698,6980,2070,UPI
ORD00131,24-12-2024,STORE037,C2537,P106,6,731,4386,1254,Cash
ORD00132,05-08-2024,STORE059,C1359,P256,1,786,786,160,Cash
ORD00133,10-02-2024,STORE029,C1489,P147,4,817,3268,572,Net Banking
ORD00134,27-09-2024,STORE037,C1817,P292,11,700,7700,1353,Debit Card
ORD00135,25-09-2024,STORE076,C256,P210,15,606,9090,2550,Cash
ORD00136,18-06-2024,STORE037,C537,P285,17,524,8908,2567,Credit Card
ORD00137,01-12-2024,STORE043,C2223,P275,7,587,4109,1316,UPI
ORD00138,22-12-2024,STORE024,C1724,P46,11,528,5808,3102,UPI
ORD00139,03-09-2024,STORE057,C397,P170,20,764,15280,1720,UPI
ORD00140,18-08-2024,STORE073,C413,P33,20,860,17200,3320,Debit Card
ORD00141,30-10-2024,STORE044,C144,P181,2,534,1068,188,Credit Card
ORD00142,01-04-2024,STORE043,C543,P229,18,797,14346,4842,Wallet
ORD00143,10-12-2024,STORE010,C270,P137,17,857,14569,3128,Debit Card
ORD00144,13-11-2024,STORE039,C1739,P159,19,553,10507,2109,Cash
ORD00145,24-06-2024,STORE027,C2447,P173,18,843,15174,3582,Debit Card
ORD00146,20-02-2024,STORE040,C460,P266,8,439,3512,1696,Debit Card
ORD00147,15-01-2024,STORE069,C169,P35,3,741,2223,561,Net Banking
ORD00148,14-12-2024,STORE044,C2384,P177,20,864,17280,3980,Credit Card
ORD00149,21-08-2024,STORE007,C1867,P10,13,613,7969,2665,Cash
ORD00150,29-06-2024,STORE003,C423,P179,11,531,5841,2959,UPI
ORD00151,09-03-2024,STORE070,C490,P16,5,499,2495,1240,UPI
ORD00152,16-05-2024,STORE036,C616,P50,2,867,1734,468,UPI
ORD00153,10-11-2024,STORE050,C230,P174,18,337,6066,2952,UPI
ORD00154,11-12-2024,STORE017,C437,P258,14,923,12922,4116,UPI
ORD00155,08-04-2024,STORE074,C174,P216,11,681,7491,2332,UPI
ORD00156,28-03-2024,STORE034,C2454,P118,14,703,9842,2240,Credit Card
ORD00157,13-09-2024,STORE047,C2147,P72,13,371,4823,1651,Credit Card
ORD00158,18-10-2024,STORE039,C2459,P198,10,394,3940,1440,UPI
ORD00159,22-12-2024,STORE026,C686,P184,5,701,3505,425,Credit Card
ORD00160,31-05-2024,STORE030,C1170,P160,8,748,5984,2056,Cash
ORD00161,30-01-2024,STORE072,C2572,P298,15,800,12000,3285,UPI
ORD00162,22-11-2024,STORE071,C1611,P26,12,885,10620,2940,Debit Card
ORD00163,11-04-2024,STORE036,C136,P260,2,761,1522,554,Credit Card
ORD00164,29-11-2024,STORE057,C877,P244,13,448,5824,3354,Net Banking
ORD00165,15-07-2024,STORE037,C1257,P162,18,743,13374,2862,UPI
ORD00166,05-11-2024,STORE066,C1926,P266,2,439,878,424,Credit Card
ORD00167,10-06-2024,STORE011,C1471,P132,7,527,3689,1988,Cash
ORD00168,31-05-2024,STORE056,C1596,P187,14,974,13636,4004,UPI
ORD00169,31-12-2024,STORE074,C1774,P145,9,745,6705,1755,Wallet
ORD00170,17-10-2024,STORE009,C2589,P87,15,388,5820,3480,UPI
ORD00171,12-07-2024,STORE003,C2183,P94,2,903,1806,480,UPI
ORD00172,11-07-2024,STORE080,C2500,P68,8,467,3736,2064,UPI
ORD00173,10-05-2024,STORE004,C1624,P211,20,469,9380,2500,Cash
ORD00174,05-12-2024,STORE035,C2375,P227,11,344,3784,1463,Cash
ORD00175,31-03-2024,STORE040,C780,P287,9,465,4185,909,UPI
ORD00176,16-02-2024,STORE027,C1167,P142,15,506,7590,3780,Cash
ORD00177,30-01-2024,STORE027,C1967,P252,2,694,1388,260,Credit Card
ORD00178,29-07-2024,STORE068,C968,P195,5,698,3490,565,Wallet
ORD00179,19-03-2024,STORE053,C2473,P37,7,405,2835,763,Wallet
ORD00180,02-04-2024,STORE067,C1287,P191,10,816,8160,2860,UPI
ORD00181,03-05-2024,STORE025,C1885,P241,2,579,1158,276,UPI
ORD00182,22-03-2024,STORE036,C2056,P201,4,977,3908,1156,Wallet
ORD00183,16-03-2024,STORE062,C322,P59,4,518,2072,1016,Wallet
ORD00184,23-02-2024,STORE029,C609,P242,12,432,5184,2868,Net Banking
ORD00185,10-03-2024,STORE007,C187,P42,7,599,4193,1078,UPI
ORD00186,20-11-2024,STORE011,C1151,P217,10,492,4920,1090,UPI
ORD00187,25-01-2024,STORE064,C1044,P33,11,860,9460,1826,Cash
ORD00188,10-07-2024,STORE032,C1332,P206,17,654,11118,2584,Wallet
ORD00189,11-05-2024,STORE074,C2254,P253,10,377,3770,1550,Wallet
ORD00190,07-11-2024,STORE042,C782,P95,11,923,10153,2849,Cash
ORD00191,08-11-2024,STORE045,C1505,P263,11,457,5027,3069,UPI
ORD00192,04-12-2024,STORE024,C604,P224,3,761,2283,768,UPI
ORD00193,29-12-2024,STORE030,C1810,P266,4,439,1756,848,UPI
ORD00194,22-01-2024,STORE012,C1712,P138,16,395,6320,3888,UPI
ORD00195,20-12-2024,STORE065,C1765,P15,8,715,5720,1288,Credit Card
ORD00196,25-10-2024,STORE071,C2411,P285,3,524,1572,453,Cash
ORD00197,21-01-2024,STORE006,C1626,P187,16,974,15584,4576,Credit Card
ORD00198,01-10-2024,STORE001,C101,P10,20,613,12260,4100,Credit Card
ORD00199,22-05-2024,STORE015,C2515,P62,13,660,8580,3380,UPI
ORD00200,03-12-2024,STORE071,C1051,P131,10,461,4610,2520,Debit Card
ORD00201,29-05-2024,STORE019,C359,P39,20,788,15760,2260,UPI
ORD00202,22-11-2024,STORE041,C1501,P218,16,376,6016,2032,Wallet
ORD00203,15-06-2024,STORE030,C1970,P214,18,663,11934,2970,Debit Card
ORD00204,19-05-2024,STORE068,C968,P107,7,609,4263,2100,Cash
ORD00205,27-08-2024,STORE005,C1785,P272,1,697,697,128,Cash
ORD00206,28-01-2024,STORE015,C1875,P08,19,789,14991,3287,UPI
ORD00207,15-02-2024,STORE069,C1769,P217,6,492,2952,654,UPI
ORD00208,26-04-2024,STORE004,C1064,P298,2,800,1600,438,Credit Card
ORD00209,22-11-2024,STORE035,C1175,P05,7,698,4886,1449,Credit Card
ORD00210,06-04-2024,STORE053,C1673,P281,1,310,310,136,Credit Card
ORD00211,30-09-2024,STORE078,C498,P174,4,337,1348,656,Wallet
ORD00212,19-08-2024,STORE010,C430,P48,4,292,1168,520,Net Banking
ORD00213,12-04-2024,STORE027,C927,P207,13,277,3601,1547,Debit Card
ORD00214,01-02-2024,STORE009,C2509,P173,2,843,1686,398,Net Banking
ORD00215,05-12-2024,STORE069,C2329,P210,15,606,9090,2550,Cash
ORD00216,04-07-2024,STORE050,C2470,P232,17,583,9911,3196,Net Banking
ORD00217,26-05-2024,STORE028,C2448,P168,19,884,16796,5510,UPI
ORD00218,03-07-2024,STORE017,C2197,P138,16,395,6320,3888,Wallet
ORD00219,04-04-2024,STORE050,C1430,P54,5,947,4735,1300,Wallet
ORD00220,29-05-2024,STORE037,C537,P141,14,712,9968,3416,Wallet
ORD00221,28-10-2024,STORE026,C1966,P258,19,923,17537,5586,UPI
ORD00222,09-10-2024,STORE046,C466,P286,19,568,10792,4940,Net Banking
ORD00223,28-09-2024,STORE040,C2060,P166,15,556,8340,3465,Debit Card
ORD00224,17-01-2024,STORE050,C2310,P29,8,766,6128,1712,Cash
ORD00225,06-07-2024,STORE074,C494,P205,13,879,11427,3484,Debit Card
ORD00226,31-10-2024,STORE071,C491,P140,7,743,5201,1638,Net Banking
ORD00227,05-07-2024,STORE065,C2325,P72,12,371,4452,1524,UPI
ORD00228,26-09-2024,STORE026,C2206,P248,2,374,748,334,UPI
ORD00229,10-04-2024,STORE010,C270,P218,1,376,376,127,Cash
ORD00230,23-09-2024,STORE021,C1321,P93,9,411,3699,1908,Debit Card
ORD00231,09-09-2024,STORE050,C2550,P82,10,477,4770,2650,Debit Card
ORD00232,24-06-2024,STORE063,C2163,P40,7,711,4977,609,UPI
ORD00233,08-12-2024,STORE050,C1990,P58,16,483,7728,2304,UPI
ORD00234,02-08-2024,STORE033,C1253,P150,3,595,1785,594,Wallet
ORD00235,18-09-2024,STORE062,C242,P266,17,439,7463,3604,UPI
ORD00236,12-09-2024,STORE063,C723,P255,9,361,3249,1359,Credit Card
ORD00237,06-05-2024,STORE015,C2275,P167,8,656,5248,2240,UPI
ORD00238,23-07-2024,STORE008,C2268,P277,4,457,1828,616,Net Banking
ORD00239,02-12-2024,STORE022,C442,P104,2,928,1856,568,UPI
ORD00240,22-07-2024,STORE067,C1687,P156,8,607,4856,1448,Net Banking
ORD00241,10-03-2024,STORE036,C856,P98,7,477,3339,1281,Cash
ORD00242,21-05-2024,STORE025,C605,P08,10,789,7890,1730,UPI
ORD00243,14-11-2024,STORE053,C633,P32,19,557,10583,4940,UPI
ORD00244,27-03-2024,STORE013,C1393,P231,8,682,5456,2096,Debit Card
ORD00245,09-03-2024,STORE074,C2334,P223,16,638,10208,4688,Credit Card
ORD00246,19-08-2024,STORE053,C793,P71,16,461,7376,2240,UPI
ORD00247,27-02-2024,STORE074,C814,P117,7,462,3234,1456,UPI
ORD00248,16-04-2024,STORE038,C1578,P247,10,352,3520,1370,Wallet
ORD00249,04-07-2024,STORE027,C2287,P201,3,977,2931,867,UPI
ORD00250,08-04-2024,STORE029,C1729,P200,8,894,7152,2008,Net Banking
ORD00251,10-03-2024,STORE030,C1570,P131,6,461,2766,1512,UPI
ORD00252,21-08-2024,STORE023,C1883,P129,18,617,11106,2232,UPI
ORD00253,10-02-2024,STORE056,C1116,P202,13,645,8385,3003,Cash
ORD00254,18-02-2024,STORE060,C1360,P28,2,710,1420,236,Credit Card
ORD00255,27-04-2024,STORE039,C379,P248,9,374,3366,1503,UPI
ORD00256,23-06-2024,STORE078,C498,P40,4,711,2844,348,UPI
ORD00257,26-08-2024,STORE063,C1603,P156,5,607,3035,905,UPI
ORD00258,26-02-2024,STORE004,C504,P218,15,376,5640,1905,UPI
ORD00259,28-06-2024,STORE070,C1930,P265,5,586,2930,625,UPI
ORD00260,30-04-2024,STORE014,C194,P106,17,731,12427,3553,Credit Card
ORD00261,01-07-2024,STORE023,C203,P66,12,396,4752,1128,Cash
ORD00262,02-12-2024,STORE003,C1063,P24,5,925,4625,1150,Net Banking
ORD00263,22-06-2024,STORE079,C979,P42,10,599,5990,1540,Debit Card
ORD00264,11-05-2024,STORE006,C1706,P185,3,692,2076,735,UPI
ORD00265,12-02-2024,STORE024,C1564,P200,5,894,4470,1255,Cash
ORD00266,08-11-2024,STORE064,C1124,P273,2,917,1834,598,Cash
ORD00267,30-12-2024,STORE072,C1852,P240,17,661,11237,3434,Wallet
ORD00268,22-07-2024,STORE052,C2472,P172,19,732,13908,3648,UPI
ORD00269,17-12-2024,STORE027,C1887,P155,11,301,3311,1353,Credit Card
ORD00270,13-10-2024,STORE064,C2484,P92,3,817,2451,687,Debit Card
ORD00271,24-05-2024,STORE046,C2546,P230,3,451,1353,465,UPI
ORD00272,30-09-2024,STORE070,C1850,P230,20,451,9020,3100,Debit Card
ORD00273,19-04-2024,STORE055,C1115,P61,17,485,8245,1785,UPI
ORD00274,27-02-2024,STORE014,C1954,P141,9,712,6408,2196,UPI
ORD00275,09-05-2024,STORE004,C1784,P191,4,816,3264,1144,Net Banking
ORD00276,15-08-2024,STORE004,C1624,P156,4,607,2428,724,Debit Card
ORD00277,27-03-2024,STORE058,C1278,P184,16,701,11216,1360,Debit Card
ORD00278,13-07-2024,STORE055,C875,P286,2,568,1136,520,Debit Card
ORD00279,24-10-2024,STORE023,C1483,P21,12,523,6276,1692,Debit Card
ORD00280,11-01-2024,STORE056,C1996,P116,15,793,11895,1830,Debit Card
ORD00281,29-10-2024,STORE057,C237,P256,4,786,3144,640,UPI
ORD00282,12-10-2024,STORE066,C966,P133,12,758,9096,1512,UPI
ORD00283,31-10-2024,STORE051,C231,P278,10,585,5850,2220,Debit Card
ORD00284,16-08-2024,STORE074,C1614,P268,13,402,5226,1924,UPI
ORD00285,16-05-2024,STORE026,C846,P216,1,681,681,212,UPI
ORD00286,26-10-2024,STORE039,C2219,P158,19,545,10355,4427,UPI
ORD00287,15-09-2024,STORE032,C1252,P278,12,585,7020,2664,Debit Card
ORD00288,19-12-2024,STORE032,C852,P154,19,606,11514,4655,UPI
ORD00289,05-02-2024,STORE001,C501,P71,1,461,461,140,UPI
ORD00290,16-01-2024,STORE026,C2526,P266,17,439,7463,3604,Cash
ORD00291,01-09-2024,STORE018,C2118,P280,11,355,3905,2134,UPI
ORD00292,25-07-2024,STORE010,C350,P66,14,396,5544,1316,Wallet
ORD00293,03-12-2024,STORE060,C2320,P213,9,727,6543,1098,Net Banking
ORD00294,05-08-2024,STORE068,C1448,P271,4,690,2760,348,Cash
ORD00295,24-12-2024,STORE055,C1275,P208,1,578,578,209,UPI
ORD00296,27-03-2024,STORE053,C2073,P40,9,711,6399,783,Wallet
ORD00297,01-12-2024,STORE018,C1238,P89,2,587,1174,260,Credit Card
ORD00298,24-01-2024,STORE041,C1661,P202,2,645,1290,462,Credit Card
ORD00299,31-05-2024,STORE038,C1498,P164,2,555,1110,582,Debit Card
ORD00300,27-10-2024,STORE019,C999,P60,13,616,8008,2366,UPI
ORD00301,04-08-2024,STORE017,C677,P209,7,911,6377,1855,Credit Card
ORD00302,22-08-2024,STORE047,C1187,P22,15,653,9795,2940,Net Banking
ORD00303,06-02-2024,STORE076,C816,P18,13,326,4238,1313,Credit Card
ORD00304,25-04-2024,STORE038,C698,P38,9,533,4797,1719,Credit Card
ORD00305,14-06-2024,STORE079,C2499,P123,14,749,10486,3584,Cash
ORD00306,12-04-2024,STORE050,C2310,P108,5,742,3710,1160,UPI
ORD00307,05-12-2024,STORE016,C2276,P152,12,494,5928,2928,UPI
ORD00308,21-03-2024,STORE054,C2394,P281,17,310,5270,2312,Wallet
ORD00309,16-06-2024,STORE012,C1152,P26,19,885,16815,4655,Cash
ORD00310,16-01-2024,STORE025,C2445,P72,4,371,1484,508,Cash
ORD00311,13-01-2024,STORE048,C1028,P71,1,461,461,140,UPI
ORD00312,20-03-2024,STORE012,C2112,P169,12,503,6036,2796,Net Banking
ORD00313,27-06-2024,STORE062,C722,P238,9,898,8082,2124,UPI
ORD00314,24-08-2024,STORE040,C2140,P143,4,364,1456,456,Credit Card
ORD00315,20-09-2024,STORE070,C170,P113,15,757,11355,3270,Wallet
ORD00316,11-10-2024,STORE046,C1186,P32,10,557,5570,2600,UPI
ORD00317,21-05-2024,STORE004,C1064,P248,13,374,4862,2171,Net Banking
ORD00318,26-10-2024,STORE028,C2368,P257,2,476,952,186,Net Banking
ORD00319,24-02-2024,STORE002,C742,P31,3,427,1281,744,Net Banking
ORD00320,28-10-2024,STORE062,C2322,P22,13,653,8489,2548,Debit Card
ORD00321,19-11-2024,STORE062,C1522,P135,16,748,11968,2496,Debit Card
ORD00322,17-10-2024,STORE012,C1152,P106,17,731,12427,3553,Debit Card
ORD00323,03-07-2024,STORE052,C2312,P32,16,557,8912,4160,UPI
ORD00324,24-03-2024,STORE068,C2168,P270,4,691,2764,1088,Credit Card
ORD00325,09-02-2024,STORE045,C1825,P169,5,503,2515,1165,UPI
ORD00326,08-10-2024,STORE050,C390,P49,20,587,11740,1760,UPI
ORD00327,12-03-2024,STORE005,C1945,P177,16,864,13824,3184,Wallet
ORD00328,12-05-2024,STORE031,C931,P06,10,703,7030,1740,Cash
ORD00329,02-02-2024,STORE001,C661,P70,17,703,11951,1836,UPI
ORD00330,22-12-2024,STORE072,C172,P255,14,361,5054,2114,Cash
ORD00331,30-07-2024,STORE030,C770,P129,14,617,8638,1736,Cash
ORD00332,23-06-2024,STORE057,C717,P182,17,608,10336,3094,UPI
ORD00333,07-08-2024,STORE021,C2281,P80,12,576,6912,1632,Cash
ORD00334,16-02-2024,STORE077,C1297,P258,18,923,16614,5292,UPI
ORD00335,11-04-2024,STORE022,C2362,P76,14,680,9520,1946,UPI
ORD00336,14-11-2024,STORE017,C677,P56,15,511,7665,1530,Wallet
ORD00337,23-02-2024,STORE037,C2137,P63,14,704,9856,3528,UPI
ORD00338,14-09-2024,STORE077,C657,P62,5,660,3300,1300,Debit Card
ORD00339,19-09-2024,STORE077,C1137,P200,11,894,9834,2761,Cash
ORD00340,24-11-2024,STORE062,C242,P47,2,420,840,260,Wallet
ORD00341,21-05-2024,STORE064,C2004,P199,14,589,8246,1260,UPI
ORD00342,01-04-2024,STORE051,C1191,P297,10,277,2770,860,Cash
ORD00343,19-09-2024,STORE074,C1374,P111,17,636,10812,3825,Wallet
ORD00344,27-02-2024,STORE057,C1117,P176,4,821,3284,948,UPI
ORD00345,05-06-2024,STORE054,C1994,P167,13,656,8528,3640,UPI
ORD00346,14-05-2024,STORE061,C321,P174,10,337,3370,1640,Cash
ORD00347,28-10-2024,STORE024,C844,P21,2,523,1046,282,Cash
ORD00348,05-04-2024,STORE051,C1191,P177,16,864,13824,3184,UPI
ORD00349,18-01-2024,STORE076,C1616,P52,4,777,3108,852,UPI
ORD00350,09-08-2024,STORE078,C1938,P165,10,567,5670,1800,UPI
ORD00351,08-11-2024,STORE002,C2582,P300,7,730,5110,707,Credit Card
ORD00352,09-08-2024,STORE068,C648,P71,17,461,7837,2380,UPI
ORD00353,25-02-2024,STORE071,C2171,P261,7,923,6461,1785,Credit Card
ORD00354,30-09-2024,STORE012,C1472,P223,8,638,5104,2344,Net Banking
ORD00355,25-01-2024,STORE015,C1795,P236,16,529,8464,4640,Cash
